response_id,enrollment_id,group_id,group_name,group_code,is_preview,assignment_external_id,assignment_title,question_external_id,kc_name,step_key,attempts,first_try_correct,replayed,created_at
883734,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,e1f33d26-0fa1-4e17-b92a-a8187c358dc1,Decimals on the number line,step-6,2,f,t,2026-04-11 12:03:48.141855+00
883734,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,e1f33d26-0fa1-4e17-b92a-a8187c358dc1,Decimals on the number line,step-7,1,t,f,2026-04-11 12:03:48.141855+00
883734,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,e1f33d26-0fa1-4e17-b92a-a8187c358dc1,Decimals on the number line,step-8,1,t,f,2026-04-11 12:03:48.141855+00
883734,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,e1f33d26-0fa1-4e17-b92a-a8187c358dc1,Decimals on the number line,step-9,1,t,f,2026-04-11 12:03:48.141855+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-0,2,f,t,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-1,1,t,f,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-2,1,t,f,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-3,1,t,f,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-4,1,t,f,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-5,2,f,t,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-6,1,t,f,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-7,1,t,f,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-8,1,t,f,2026-04-11 15:53:46.97719+00
883772,1927,337,PREP - 6th Grade,PRP6,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-9,1,t,f,2026-04-11 15:53:46.97719+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-0,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-1,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-2,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-3,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-4,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-5,2,f,t,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-6,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-7,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-8,1,t,f,2026-04-12 01:53:11.235337+00
883875,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,78c72546-66f4-4b0b-a6e0-6930daf021dd,Lesson 2 Part A: Points on the Number Line,130af36f-60de-4537-a2a5-82fa39cd1709,Opposites of numbers on number line,step-9,1,t,f,2026-04-12 01:53:11.235337+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-0,1,t,f,2026-04-12 01:54:54.303044+00
